,Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,Release Date,Team,Rating,Times Listed,Number of Reviews,Genres,Plays,Playing,Backlogs,Wishlist
923,4319,The Walking Dead: Season One,PS4,2014,Adventure,Telltale Games,0.12,0.25,0.01,0.08,0.45,2012-04-24,"Telltale Games, Sony Computer Entertainment",4.0,1200.0,1200.0,"Adventure, Point-and-Click",12000.0,111.0,1100.0,467.0
924,4382,Silent Hill: Homecoming,X360,2009,Action,Konami Digital Entertainment,0.25,0.16,0.0,0.04,0.45,2008-09-30,"Double Helix Games, Konami",2.1,206.0,206.0,"Adventure, Fighting",1300.0,18.0,382.0,227.0
925,4431,DmC: Devil May Cry,X360,2013,Action,Capcom,0.26,0.13,0.01,0.04,0.44,2013-01-15,"Ninja Theory, Capcom",3.0,432.0,432.0,"Adventure, Brawler",6300.0,62.0,1200.0,448.0
926,4431,DmC: Devil May Cry,X360,2013,Action,Capcom,0.26,0.13,0.01,0.04,0.44,2013-01-15,"Ninja Theory, Capcom",3.0,432.0,432.0,"Adventure, Brawler",6300.0,62.0,1200.0,448.0
927,4478,Devil May Cry HD Collection,X360,2012,Action,Capcom,0.28,0.11,0.01,0.03,0.44,2012-03-22,"Capcom, Capcom Production Studio 4",3.9,230.0,230.0,"Brawler, Platform",2200.0,152.0,1100.0,371.0
928,4481,Naruto: Ultimate Ninja 3,PS2,2005,Fighting,Atari,0.36,0.01,0.0,0.06,0.44,2005-12-22,"Bandai, CyberConnect2",3.5,120.0,120.0,Fighting,1900.0,2.0,67.0,32.0
929,4495,Alpha Protocol,PS3,2010,Role-Playing,Sega,0.19,0.18,0.0,0.07,0.43,2010-05-28,"Obsidian Entertainment, Sega",3.3,170.0,170.0,"RPG, Shooter",987.0,9.0,511.0,182.0
930,4505,FIFA 14,PC,2013,Sports,Electronic Arts,0.01,0.36,0.0,0.06,0.43,2013-09-24,"EA Sports, EA Canada",3.2,92.0,92.0,Sport,2200.0,8.0,52.0,13.0
931,4511,Overwatch,PC,2016,Shooter,Activision,0.22,0.18,0.0,0.04,0.43,2016-05-24,"Blizzard Entertainment, Square Enix",3.2,957.0,957.0,"Shooter, Strategy",19000.0,436.0,411.0,214.0
932,4513,NBA Jam,Wii,2010,Sports,Electronic Arts,0.38,0.03,0.0,0.03,0.43,1993-06-02,Midway,3.6,106.0,106.0,Sport,847.0,0.0,64.0,23.0
933,4515,Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43,2011-11-18,Mojang Studios,4.3,2300.0,2300.0,"Adventure, Simulator",33000.0,1800.0,1100.0,230.0
934,4515,Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43,2011-11-18,Mojang Studios,4.3,2300.0,2300.0,"Adventure, Simulator",33000.0,1800.0,1100.0,230.0
935,4515,Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43,2011-11-18,Mojang Studios,4.3,2300.0,2300.0,"Adventure, Simulator",33000.0,1800.0,1100.0,230.0
936,4515,Minecraft,WiiU,2016,Misc,Microsoft Game Studios,0.18,0.09,0.14,0.03,0.43,2017-09-20,Mojang Studios,4.2,571.0,571.0,"Adventure, Simulator",11000.0,509.0,412.0,85.0
